0.0 0.0066
0.0964 0.009
0.1928 0.0122
0.2892 0.0164
0.3855 0.0221
0.4819 0.0296
0.5783 0.0395
0.6747 0.0524
0.7711 0.0689
0.8675 0.0896
0.9638 0.1147
1.0602 0.1436
1.1566 0.1744
1.253 0.2048
1.3494 0.2318
1.4458 0.2532
1.5422 0.268
1.6385 0.2766
1.7349 0.2815
1.8313 0.2854
1.9277 0.2909
2.0241 0.2991
2.1205 0.3092
2.2169 0.3192
2.3132 0.3275
2.4096 0.3338
2.506 0.3407
2.6024 0.3531
2.6988 0.3769
2.7952 0.4163
2.8915 0.4715
2.9879 0.5369
3.0843 0.6035
3.1807 0.6616
3.2771 0.7044
3.3735 0.7294
3.4699 0.7359
3.5662 0.7242
3.6626 0.6938
3.759 0.6457
3.8554 0.5836
3.9518 0.5156
4.0482 0.4517
4.1446 0.4007
4.2409 0.3662
4.3373 0.3469
4.4337 0.3374
4.5301 0.3319
4.6265 0.3258
4.7229 0.3174
4.8192 0.3073
4.9156 0.2975
5.012 0.2898
5.1084 0.2846
5.2048 0.2807
5.3012 0.2752
5.3976 0.2654
5.4939 0.2493
5.5903 0.2265
5.6867 0.1986
5.7831 0.1679
5.8795 0.1373
5.9759 0.1091
6.0723 0.0849
6.1686 0.0651
6.265 0.0495
6.3614 0.0372
6.4578 0.0278
6.5542 0.0207
6.6506 0.0154
6.7469 0.0114
6.8433 0.0084
6.9397 0.0062
